題目,答案,答對回饋,答錯回饋,提示
"1 + 2 = ?",3,"答對了，真厲害！","再想一想喔，正確答案是 3。","1 再加上 2 是多少呢？"
"3 + 4 = ?",7,"完全正確！","不對喔，答案是 7。","從 3 開始，往後數 4 個數字看看。"
"5 + 1 = ?",6,"你太棒了！","差一點點，答案是 6。","5 的下一個數字是什麼？"
"2 + 7 = ?",9,"答對了！繼續保持！","這個答案不對喔，正確答案是 9。","把比較大的數字 7 放在心裡，再往上數 2。"
"8 + 1 = ?",9,"完全正確！","再試一次吧，答案是 9。","8 再多 1 是多少？"
"4 + 4 = ?",8,"太厲害了，答對了！","不對喔，4+4 等於 8。","這是個有趣的加法，兩個一樣的數字相加。"
"6 + 3 = ?",9,"你答對了！","想想看，6 加上 3 是 9 喔。","從 6 開始，數三個數字：7、8、9。"
"9 + 0 = ?",9,"沒錯，就是這樣！","任何數字加上 0 還是它自己喔，所以答案是 9。","加上 0 會改變數字嗎？"
"2 + 5 = ?",7,"你真聰明！","不對耶，答案是 7。","5 再加上 2 是多少呢？"
"7 + 2 = ?",9,"答對了！","再算一次看看，答案是 9。","7... 8... 9，很簡單吧！"
