題目,答案,答對回饋,答錯回饋,提示
"Max Verstappen 的車號是？",1,"正確！不愧是世界冠軍！","答錯囉！提示一下，他是目前的衛冕冠軍，所以使用特別的號碼。","衛冕世界冠軍的車號是？"
"Lewis Hamilton 的車號是？",44,"答對了！Get in there Lewis!","再想想看，這個號碼從他開卡丁車時就一直跟著他了。","一個重複的數字，也是他小時候的幸運號碼。"
"Charles Leclerc 的車號是？",16,"Forza Ferrari! 答對了！","不對喔，他的生日是10月16日，這給了你一些線索。","他的生日是10月16日。"
"Lando Norris 的車號是？",4,"Correct! Landooooo!","答錯了，這個號碼的Logo看起來很像他的名字縮寫 'LN'。","這個數字的Logo設計與他的名字縮寫 'LN' 很像。"
"Fernando Alonso 的車號是？",14,"El Plan! 你答對了！","不對喔，他在14歲那年，用14號賽車贏得了世界冠軍。","他在14歲時，駕駛14號賽車贏得冠軍。"
"Daniel Ricciardo 的車號是？",3,"Big Ric Energy! 完全正確！","答錯了，他選擇這個號碼是為了致敬他的偶像 Dale Earnhardt Sr.","他選擇這個號碼是為了致敬一位NASCAR傳奇車手。"
"Oscar Piastri 的車號是？",81,"太強了，超級新秀！","不對喔，他在卡丁車時期的第一個號碼是11，但因為被佔用，所以改用81。","這個號碼來自他早期的卡丁車生涯。"
"George Russell 的車號是？",63,"Mr. Saturday! 答對了！","答錯了，這個號碼來自他哥哥的卡丁車號碼，他把它變成了自己的標誌。","這個號碼的Logo可以看成是 'GR' 的組合。"
"Carlos Sainz 的車號是？",55,"Smooth Operator! 完全正確！","不對喔，他的名字Sainz看起來很像兩個5。","他的名字 Sainz 看起來就像 5ainz。"
"Yuki Tsunoda 的車號是？",22,"角田裕毅的車號是多少？答對了！","答錯了，他原本想要11號，但被隊友佔走了，所以選了它的兩倍。","他想要的號碼被隊友選走了，所以他選了兩倍的數字。"
